year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",27.00,11.00,3.48,1.00,1.59,0.00,4.93,0.00,0.00,989.00,253.00,100.00,91.00,0.00,545.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ILM,"Wilmington, NC: Wilmington International",57.00,16.00,7.03,0.90,3.13,0.00,4.94,0.00,0.00,1861.00,512.00,744.00,88.00,0.00,517.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,IND,"Indianapolis, IN: Indianapolis International",6.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",48.00,16.00,6.63,0.00,1.85,0.00,7.52,0.00,0.00,1411.00,542.00,0.00,110.00,0.00,759.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LEX,"Lexington, KY: Blue Grass",89.00,18.00,2.86,0.00,1.83,0.00,13.31,0.00,0.00,2878.00,809.00,0.00,92.00,0.00,1977.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LGA,"New York, NY: LaGuardia",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",79.00,14.00,4.02,0.15,2.53,0.00,7.30,0.00,0.00,1060.00,258.00,22.00,139.00,0.00,641.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,LNK,"Lincoln, NE: Lincoln Airport",34.00,7.00,1.66,0.06,2.56,0.00,2.72,1.00,0.00,1307.00,141.00,50.00,212.00,0.00,904.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MDT,"Harrisburg, PA: Harrisburg International",34.00,8.00,2.52,0.00,1.92,0.00,3.56,0.00,0.00,591.00,205.00,0.00,79.00,0.00,307.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MEM,"Memphis, TN: Memphis International",33.00,7.00,2.50,0.00,1.88,0.00,2.62,0.00,0.00,869.00,187.00,0.00,130.00,0.00,552.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MHT,"Manchester, NH: Manchester Boston Regional",53.00,19.00,4.20,0.00,1.72,0.00,13.07,0.00,0.00,1986.00,457.00,0.00,69.00,0.00,1460.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MLI,"Moline, IL: Quad Cities International",3.00,1.00,0.00,0.25,0.00,0.00,0.75,0.00,0.00,104.00,0.00,26.00,0.00,0.00,78.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,MSN,"Madison, WI: Dane County Regional-Truax Field",46.00,8.00,2.03,0.00,0.66,0.00,5.31,0.00,0.00,558.00,188.00,0.00,58.00,0.00,312.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,OMA,"Omaha, NE: Eppley Airfield",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,3,G7,GoJet Airlines LLC d/b/a United Express,ORD,"Chicago, IL: Chicago O'Hare International",1514.00,336.00,65.43,13.63,100.92,0.00,156.02,7.00,5.00,33844.00,4988.00,2096.00,8255.00,0.00,18505.00
